Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Harvard AB,Cal State Fullerton WB,"Douglas Husic																																		Caitlin Walrath																																		Jyleesa Hampton","Neg																												Neg																												Neg","3-0																															NEG","Samar A																																																												29																																								29																																								29																																																																												Aden B																																																												29																																								29																																								29","Jared B																																																												30																																								29																																								29																																																																												Vontrez W																																																												29																																								30																																								29"
Pittsburgh LR,Georgetown AG,"Brian Klarman																																		Harry Aaronson																																		Kevin Hirn","Aff																												Aff																												Neg","2-1																															AFF","Alex R																																																												29																																								29																																								29																																																																												Zachary L																																																												29																																								29																																								29","Ethan G																																																												29																																								29																																								29																																																																												Kelly A																																																												29																																								29																																								29"
Missouri State EG,Michigan State GS,"Josh Lamet																																		Lee Quinn																																		Vladimir Pavlov","Aff																												Neg																												Aff","2-1																															AFF","Clayton E																																																												29																																								29																																								29																																																																												Oliver G																																																												28																																								28																																								29","Lena G																																																												28																																								29																																								29																																																																												Ezra S																																																												29																																								29																																								29"
Wayne State BR,Indiana OH,"Beau Larsen																																		Tyler Snelling																																		Shanara Reid-Brinkley","Neg																												Aff																												Aff","2-1																															AFF","Brandon R																																																												28																																								29																																								29																																																																												Luke B																																																												28																																								29																																								29","Janet O																																																												28																																								28																																								29																																																																												Payton H																																																												28																																								29																																								29"
Georgetown MW,Kentucky DG,"Edward Lee																																		Nick Ryan																																		Brendon Bankey","Neg																												Neg																												Neg","3-0																															NEG","Zidao W																																																												29																																								29																																								29																																																																												Bernard M																																																												29																																								29																																								29","David G																																																												30																																								29																																								29																																																																												Jordan D																																																												29																																								29																																								29"
Navy LR,Harvard AF,"Adam R. Lee																																		Lindsey Shook																																		Sean Kennedy","Neg																												Neg																												Neg","3-0																															NEG","Will L																																																												29																																								29																																								29																																																																												Kathleen R																																																												29																																								29																																								29","Kenji A																																																												29																																								29																																								29																																																																												Anna F																																																												29																																								29																																								29"
Wake Forest FH,Emory GM,"Matt Liu																																		Tommye Weddington																																		Al Hiland","Aff																												Aff																												Aff","3-0																															AFF","Tessa H																																																												29																																								30																																								29																																																																												Roberto F																																																												29																																								30																																								29","Henry M																																																												29																																								29																																								29																																																																												Adrian G																																																												29																																								29																																								29"
Central Oklahoma CH,Indiana GJ,"Calum Matheson																																		V Keenan																																		Carter Henman","Aff																												Aff																												Neg","2-1																															AFF","Grant C																																																												29																																								29																																								29																																																																												Zach H																																																												29																																								29																																								29","Mehul G																																																												28																																								28																																								29																																																																												Aryan J																																																												28																																								28																																								29"
Georgia MW,NYU ST,"Hunter McCullough																																		Derek Hilligoss																																		Jesse Smith","Neg																												Neg																												Neg","3-0																															NEG","Daniel W																																																												28																																								29																																								29																																																																												Jack M																																																												28																																								29																																								29","Alex S																																																												29																																								29																																								29																																																																												Eugene T																																																												28																																								29																																								29"
Harvard OY,Samford EG,"Brad Meloche																																		Bruce Najor																																		Matthew Moore","Neg																												Neg																												Aff","2-1																															NEG","Lynn Y																																																												29																																								29																																								29																																																																												Oge O																																																												29																																								29																																								29","Sawyer E																																																												30																																								29																																								29																																																																												Maddox G																																																												29																																								29																																								29"
Emory GK,Kansas BF,"Dustin Meyers-Levy																																		Margaret Strong																																		Patrick Kennedy","Neg																												Neg																												Neg","3-0																															NEG","Eugenia G																																																												29																																								29																																								29																																																																												Grace K																																																												29																																								29																																								29","Ross F																																																												29																																								30																																								29																																																																												Azja B																																																												29																																								30																																								30"
George Mason BG,Houston FL,"James Mollison																																		Reed Van Schenck																																		Joe Leeson-Schatz","Aff																												Aff																												Aff","3-0																															AFF","Ky B																																																												29																																								29																																								29																																																																												Noah G																																																												29																																								29																																								29","Patrick F																																																												28																																								29																																								29																																																																												Gabrielle L																																																												28																																								29																																								29"
James Madison HS,Southwestern AG,"Nyx Moore																																		Vida Chiri																																		Caitlyn Wicks","Neg																												Aff																												Neg","2-1																															NEG","Ashley H																																																												29																																								29																																								29																																																																												Aubree S																																																												29																																								29																																								29","Joaquin A																																																												30																																								29																																								29																																																																												Khamani G																																																												30																																								29																																								29"
Emory PR,Liberty CaRa,"Gabriel Morrison																																		Matt Coleman																																		Jack Booth","Aff																												Aff																												Aff","3-0																															AFF","Andrew P																																																												30																																								29																																								29																																																																												Shreyas R																																																												29																																								29																																								29","Kat C																																																												28																																								29																																								29																																																																												Jordan R																																																												29																																								29																																								29"
CSU Long Beach CF,Johnson County Community BB,"Jackie Poapst																																		Pia Sen																																		Brian Rubaie","Aff																												Neg																												Aff","2-1																															AFF","Noah C																																																												29																																								29																																								29																																																																												Diego F																																																												29																																								28																																								29","Thomas B																																																												29																																								29																																								29																																																																												Travis B																																																												29																																								29																																								29"
Dartmouth MS,UC Berkeley EE,"Simon Sheaff																																		Kurt Fifelski																																		Alaina Walberg","Aff																												Aff																												Aff","3-0																															AFF","Nicholas M																																																												29																																								29																																								29																																																																												Arvind S																																																												29																																								29																																								29","Michael E																																																												29																																								29																																								29																																																																												Mark E																																																												28																																								29																																								29"
Liberty CoRo,Michigan State GK,"Paige Spraker																																		Anthony Ogbuli																																		David Heidt","Aff																												Aff																												Aff","3-0																															AFF","Morgan C																																																												29																																								29																																								29																																																																												Natalie R																																																												29																																								29																																								29","David K																																																												28																																								29																																								28																																																																												Nathan G																																																												29																																								29																																								29"
Louisville BD,UNLV RR,"Ron Stevenson																																		Justin Green																																		David Kilpatrick","Neg																												Neg																												Neg","3-0																															NEG","Jahne B																																																												29																																								29																																								29																																																																												Acia D																																																												29																																								29																																								28","Allie R																																																												29																																								29																																								29																																																																												Max R																																																												29																																								29																																								29"
Northwestern LS,Binghamton PP,"Brianna Thomas																																		Aaron Kall																																		Allie Chase","Neg																												Aff																												Aff","2-1																															AFF","Jack L																																																												29																																								29																																								29																																																																												Nikola (Nik) S																																																												29																																								29																																								29","Harrison P																																																												29																																								29																																								29																																																																												Rosalisy P																																																												29																																								29																																								29"
Michigan PR,Dartmouth TV,"Allegro Wang																																		Pablo Gannon																																		Cameron Dehmlow Dunne","Aff																												Neg																												Neg","2-1																															NEG","Rafael P																																																												30																																								29																																								30																																																																												Giorgio R																																																												29																																								29																																								30","Raam T																																																												29																																								30																																								30																																																																												Tyler V																																																												30																																								30																																								30"
Baylor LM,Georgetown LM,"Tyler Wiseman																																		Kristen Lowe																																		Jasmine Stidham","Neg																												Neg																												Neg","3-0																															NEG","Ciarra M																																																												29																																								29																																								29																																																																												Chase L																																																												29																																								29																																								29","Katherine M																																																												29																																								29																																								28																																																																												Kieran L																																																												29																																								29																																								29"
Rochester MA,Michigan MM,"Lawrence Zhou																																		Alex Brown																																		Will Katz","Neg																												Aff																												Neg","2-1																															NEG","Ben M																																																												29																																								29																																								29																																																																												Ali A																																																												29																																								28																																								29","jeremy m																																																												29																																								29																																								29																																																																												Ethan M																																																												29																																								29																																								29"
