Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Kentucky DG,Southern California KS,"Rob Glass																																		Pablo Gannon																																		Rayvon Dean","Aff																												Aff																												Aff","3-0																															AFF","David G																																																												29																																								29																																								29																																																																												Jordan D																																																												30																																								29																																								29","Julian K																																																												29																																								29																																								29																																																																												Kevin S																																																												30																																								29																																								29"
Houston FL,Indiana GJ,"Jacob Goldschlag																																		Eric Lanning																																		Armands Revelins","Aff																												Aff																												Aff","3-0																															AFF","Patrick F																																																												29																																								29																																								29																																																																												Gabrielle L																																																												29																																								29																																								29","Mehul G																																																												28																																								29																																								28																																																																												Aryan J																																																												28																																								28																																								28"
Gonzaga HM,Michigan State GK,"Sherry Hall																																		Aaron Kall																																		Lee Quinn","Neg																												Aff																												Neg","2-1																															NEG","Molly M																																																												29																																								29																																								29																																																																												Avalyn H																																																												29																																								29																																								29","David K																																																												29																																								29																																								29																																																																												Nathan G																																																												29																																								29																																								28"
Harvard/Amherst GM,UT Dallas LM,"Casey Harrigan																																		Brad Meloche																																		Ryan Galloway","Aff																												Aff																												Aff","3-0																															AFF","Chris G																																																												29																																								29																																								29																																																																												Rishi M																																																												28																																								29																																								29","Storm L																																																												29																																								28																																								29																																																																												Hasan M																																																												28																																								29																																								29"
Wake Forest BD,Wichita State BM,"Andrew Hart																																		Joey Konrad																																		Julia Henry","Aff																												Aff																												Aff","3-0																															AFF","Ana B																																																												29																																								29																																								30																																																																												Ari D																																																												30																																								29																																								29","Kayla B																																																												29																																								28																																								29																																																																												Connor M																																																												29																																								28																																								29"
Wyoming MR,UT Dallas BK,"David Heidt																																		Will Katz																																		Alaina Walberg","Neg																												Aff																												Neg","2-1																															NEG","Kiana R																																																												29																																								28																																								28																																																																												Joshua M																																																												28																																								29																																								29","Ragya K																																																												29																																								29																																								29																																																																												Dustyn B																																																												29																																								28																																								29"
Wake Forest FH,Michigan MM,"Douglas Husic																																		Kevin Clarke																																		Jacob Smith","Aff																												Aff																												Aff","3-0																															AFF","Tessa H																																																												29																																								30																																								30																																																																												Roberto F																																																												29																																								30																																								30","jeremy m																																																												29																																								29																																								29																																																																												Ethan M																																																												29																																								29																																								30"
Georgetown AG,Kentucky BL,"Viveth Karthikeyan																																		Abby Schirmer																																		Bruce Najor","Aff																												Neg																												Neg","2-1																															NEG","Ethan G																																																												29																																								29																																								29																																																																												Kelly A																																																												29																																								29																																								29","Christopher L																																																												29																																								29																																								29																																																																												Lex B																																																												29																																								29																																								28"
Samford EG,NYU ST,"Brian Klarman																																		Richard Garner																																		Adam R. Lee","Neg																												Neg																												Neg","3-0																															NEG","Sawyer E																																																												29																																								29																																								29																																																																												Maddox G																																																												29																																								29																																								29","Alex S																																																												29																																								29																																								29																																																																												Eugene T																																																												29																																								29																																								29"
Missouri State KR,Michigan State AM,"Josh Lamet																																		Paige Spraker																																		Eric Forslund","Aff																												Neg																												Aff","2-1																															AFF","Zach K																																																												29																																								28																																								29																																																																												Peyton R																																																												29																																								28																																								29","Duvall A																																																												29																																								29																																								29																																																																												Piper M																																																												29																																								29																																								29"
UC Berkeley EE,Liberty WW,"Teja Leburu																																		Brent Lamb																																		Tom Gliniecki","Aff																												Aff																												Aff","3-0																															AFF","Michael E																																																												29																																								29																																								29																																																																												Mark E																																																												29																																								29																																								29","Ryan W																																																												29																																								29																																								29																																																																												Justice W																																																												29																																								29																																								29"
Baylor LM,Harvard AB,"Flynn Makuch																																		Victoria Yonter																																		Cecilia Cerja","Neg																												Neg																												Neg","3-0																															NEG","Ciarra M																																																												29																																								29																																								29																																																																												Chase L																																																												28																																								29																																								29","Samar A																																																												29																																								29																																								29																																																																												Aden B																																																												29																																								29																																								29"
Kansas MR,Cal State Fullerton WB,"Mikaela Malsin																																		Nate Graziano																																		Chris Loghry","Aff																												Aff																												Aff","3-0																															AFF","Nate M																																																												30																																								29																																								29																																																																												Graham R																																																												30																																								29																																								29","Jared B																																																												29																																								29																																								29																																																																												Vontrez W																																																												29																																								29																																								29"
Minnesota FM,Texas DW,"Erik Mathis																																		Calum Matheson																																		Tim Freehan","Neg																												Neg																												Neg","3-0																															NEG","Peter M																																																												29																																								28																																								29																																																																												Jordan F																																																												29																																								29																																								29","Zachary W																																																												29																																								29																																								29																																																																												Het D																																																												29																																								29																																								29"
UNLV RR,Dartmouth TV,"Gabriel Morbeck																																		Tyler Thur																																		Gabriel Jankovsky","Neg																												Neg																												Neg","3-0																															NEG","Allie R																																																												29																																								29																																								29																																																																												Max R																																																												29																																								29																																								29","Raam T																																																												30																																								30																																								30																																																																												Tyler V																																																												30																																								30																																								30"
Johnson County Community BB,George Mason LM,"Theo Noparstak																																		Miles Gray																																		Alex Brown","Neg																												Aff																												Neg","2-1																															NEG","Thomas B																																																												28																																								29																																								28																																																																												Travis B																																																												28																																								29																																								28","Ian M																																																												29																																								29																																								29																																																																												Nicholas L																																																												29																																								29																																								28"
Georgetown MW,Emory GK,"Danielle O'Gorman																																		Dan Bagwell																																		Ned Gidley","Neg																												Neg																												Neg","3-0																															NEG","Zidao W																																																												29																																								29																																								29																																																																												Bernard M																																																												29																																								29																																								29","Eugenia G																																																												29																																								29																																								29																																																																												Grace K																																																												29																																								29																																								29"
CSU Long Beach CF,Dartmouth MS,"Tripp Rebrovick																																		Nick Ryan																																		Cameron Dehmlow Dunne","Neg																												Neg																												Neg","3-0																															NEG","Noah C																																																												29																																								29																																								29																																																																												Diego F																																																												29																																								29																																								29","Nicholas M																																																												29																																								29																																								29																																																																												Arvind S																																																												29																																								29																																								30"
Georgia MW,Pittsburgh LR,"Maggie Solice																																		Christopher Callahan																																		Nate Nys","Neg																												Neg																												Aff","2-1																															NEG","Daniel W																																																												29																																								28																																								30																																																																												Jack M																																																												29																																								29																																								29","Alex R																																																												29																																								29																																								29																																																																												Zachary L																																																												29																																								29																																								29"
Northwestern FW,Liberty CoRo,"Rebecca Steiner																																		Jason Regnier																																		Derek Hilligoss","Aff																												Aff																												Aff","3-0																															AFF","Nina F																																																												29																																								29																																								29																																																																												Timothy W																																																												29																																								29																																								29","Morgan C																																																												29																																								29																																								29																																																																												Natalie R																																																												29																																								29																																								29"
Indiana OH,Liberty CaRa,"Jada Stinnett																																		Nicolas Juarez																																		LaToya Green","Neg																												Neg																												Neg","3-0																															NEG","Janet O																																																												28																																								29																																								29																																																																												Payton H																																																												29																																								29																																								29","Kat C																																																												29																																								29																																								29																																																																												Jordan R																																																												29																																								29																																								29"
Iowa BR,Northwestern LS,"Johnnie Stupek																																		Jacinda Rivas																																		Nathan Rice","Aff																												Aff																												Aff","3-0																															AFF","Spencer R																																																												29																																								29																																								29																																																																												Elizabeth B																																																												29																																								29																																								29","Jack L																																																												29																																								29																																								29																																																																												Nikola (Nik) S																																																												29																																								29																																								29"
Kansas BF,Michigan PS,"Michelle Thomas																																		Tommye Weddington																																		Shuntà Jordan","Aff																												Aff																												Aff","3-0																															AFF","Ross F																																																												29																																								29																																								29																																																																												Azja B																																																												29																																								29																																								30","Brandon S																																																												29																																								29																																								30																																																																												Kelly P																																																												29																																								29																																								29"
NYU HP,Harvard AF,"Brianna Thomas																																		Taylor Brough																																		Rakeem Robinson","Neg																												Neg																												Neg","3-0																															NEG","Faizan H																																																												29																																								28																																								28																																																																												Maggie P																																																												29																																								28																																								28","Kenji A																																																												29																																								29																																								29																																																																												Anna F																																																												29																																								29																																								29"
Binghamton AM,Baylor NW,"Reed Van Schenck																																		Jazmine Pickens																																		Timothy Byram","Aff																												Aff																												Aff","3-0																															AFF","Kate M																																																												29																																								29																																								29																																																																												Ronak A																																																												29																																								29																																								29","Anthony W																																																												29																																								29																																								29																																																																												Katlin N																																																												28																																								29																																								29"
Emory GM,Samford GT,"Heather Walters																																		Lauren Pepper																																		Christopher Fry","Aff																												Aff																												Aff","3-0																															AFF","Henry M																																																												29																																								29																																								29																																																																												Adrian G																																																												29																																								29																																								29","Alyssa G																																																												28																																								29																																								28																																																																												Joey T																																																												28																																								28																																								28"
Wake Forest KM,Michigan PR,"Joe Weideman																																		Michael Wimsatt																																		Brandon Kelley","Neg																												Aff																												Aff","2-1																															AFF","Ruby K																																																												29																																								30																																								29																																																																												Alex M																																																												29																																								30																																								29","Rafael P																																																												30																																								29																																								29																																																																												Giorgio R																																																												29																																								29																																								29"
Emory PR,Purdue SJ,"Tyler Wiseman																																		Matt Gerber																																		Lauren Johnson","Neg																												Neg																												Aff","2-1																															NEG","Andrew P																																																												29																																								29																																								28																																																																												Shreyas R																																																												28																																								29																																								28","Imaan S																																																												29																																								29																																								29																																																																												Daniel J																																																												29																																								29																																								28"
Wayne State BR,Binghamton PP,"Jefferson Yahom																																		Willie Johnson																																		Squid Monteith","Neg																												Neg																												Neg","3-0																															NEG","Brandon R																																																												28																																								28																																								29																																																																												Luke B																																																												28																																								28																																								29","Harrison P																																																												29																																								29																																								29																																																																												Rosalisy P																																																												28																																								29																																								29"
